ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.02,1.5,Todd Gurley,RB,LAR,285,0.7,1,4,12
1.02,2.3,LeVeon Bell,RB,PIT,297,0.8,1,5,7
1.04,4.0,Ezekiel Elliott,RB,DAL,269,1.1,1,7,8
1.04,4.3,David Johnson,RB,ARI,248,1.9,1,11,9
1.05,5.1,Antonio Brown,WR,PIT,258,1.3,1,8,7
1.06,6.3,Alvin Kamara,RB,NO,259,1.4,2,12,6
1.07,6.6,Saquon Barkley,RB,NYG,267,1.9,1,14,9
1.08,8.3,Melvin Gordon,RB,LAC,268,1.5,4,14,8
1.09,9.0,Leonard Fournette,RB,JAX,315,1.7,4,14,9
1.10,9.9,DeAndre Hopkins,WR,HOU,332,1.8,5,15,10
1.11,11.0,Kareem Hunt,RB,KC,301,1.8,6,16,12
1.12,11.8,Odell Beckham Jr,WR,NYG,336,2.0,6,18,9
2.01,12.6,Christian McCaffrey,RB,CAR,328,2.3,6,19,4
2.02,14.4,Julio Jones,WR,ATL,294,1.9,9,20,8
2.03,14.9,Dalvin Cook,RB,MIN,331,2.3,9,22,10
2.04,16.1,Michael Thomas,WR,NO,290,2.1,10,27,6
2.06,17.8,Keenan Allen,WR,LAC,251,1.9,13,25,8
2.06,18.4,Jordan Howard,RB,CHI,282,2.5,13,26,5
2.07,18.6,Davante Adams,WR,GB,310,2.3,13,30,7
2.08,19.9,Devonta Freeman,RB,ATL,292,2.5,13,27,8
2.09,20.7,Rob Gronkowski,TE,NE,292,3.0,12,30,11
2.10,21.9,A.J. Green,WR,CIN,320,2.2,16,32,9
2.11,22.6,Joe Mixon,RB,CIN,247,3.0,14,34,9
3.01,24.9,Mike Evans,WR,TB,209,2.4,18,32,5
3.01,25.0,Tyreek Hill,WR,KC,225,2.8,17,32,12
3.02,26.5,Stefon Diggs,WR,MIN,227,2.9,18,34,10
3.04,27.6,Jerick McKinnon,RB,SF,141,3.6,18,40,11
3.04,28.0,T.Y. Hilton,WR,IND,254,2.6,23,37,9
3.05,28.8,LeSean McCoy,RB,BUF,218,3.6,19,39,11
3.06,29.6,Alex Collins,RB,BAL,282,3.5,20,41,10
3.06,30.4,Travis Kelce,TE,KC,252,4.4,18,42,12
3.07,31.1,Royce Freeman,RB,DEN,258,4.6,19,43,10
3.09,33.1,Aaron Rodgers,QB,GB,223,7.0,14,46,7
3.09,33.2,Kenyan Drake,RB,MIA,341,4.2,22,46,11
3.09,33.3,Adam Thielen,WR,MIN,279,3.6,23,42,10
3.09,33.3,Doug Baldwin,WR,SEA,215,4.0,25,43,7
3.10,34.1,Amari Cooper,WR,OAK,354,3.5,25,44,7
4.02,38.0,Derrick Henry,RB,TEN,246,4.7,25,50,8
4.02,38.1,Larry Fitzgerald,WR,ARI,322,4.3,26,49,9
4.03,38.6,Lamar Miller,RB,HOU,400,4.3,27,48,10
4.04,40.2,JuJu Smith-Schuster,WR,PIT,229,4.2,29,52,7
4.05,41.5,Zach Ertz,TE,PHI,185,4.9,28,58,9
4.06,42.1,Jarvis Landry,WR,CLE,239,3.8,32,58,11
4.08,43.5,Jay Ajayi,RB,PHI,262,4.3,32,54,9
4.08,43.7,Chris Hogan,WR,NE,271,4.0,33,56,11
4.09,44.5,Josh Gordon,WR,CLE,249,4.6,32,58,11
4.10,45.9,Mark Ingram,RB,NO,204,5.6,35,61,6
4.11,47.1,Marshawn Lynch,RB,OAK,262,5.4,33,57,7
4.12,48.2,Demaryius Thomas,WR,DEN,219,4.4,36,59,10
5.02,50.1,Deshaun Watson,QB,HOU,135,7.3,31,65,10
5.02,50.2,Golden Tate,WR,DET,212,4.0,39,62,6
5.03,51.1,Jimmy Graham,TE,GB,142,7.2,32,65,7
5.03,51.1,Brandin Cooks,WR,LAR,234,4.9,38,66,12
5.04,52.4,Allen Robinson,WR,CHI,210,5.2,38,64,5
5.04,52.4,Marquise Goodwin,WR,SF,254,4.9,39,63,11
5.06,53.9,Tom Brady,QB,NE,151,8.5,31,75,11
5.08,55.8,Kerryon Johnson,RB,DET,199,5.7,40,70,6
5.08,55.8,Carlos Hyde,RB,CLE,325,6.1,39,73,11
5.09,57.0,Dion Lewis,RB,TEN,239,5.5,42,76,8
5.11,58.9,Marvin Jones,WR,DET,272,5.0,45,91,6
5.12,60.2,Rex Burkhead,RB,NE,268,6.0,44,79,11
6.01,60.5,Jamaal Williams,RB,GB,335,6.7,43,77,7
6.02,61.6,Greg Olsen,TE,CAR,155,6.2,49,78,4
6.02,61.8,Russell Wilson,QB,SEA,153,6.1,46,76,7
6.03,62.5,Emmanuel Sanders,WR,DEN,336,5.9,47,78,10
6.03,62.7,Corey Davis,WR,TEN,223,6.0,47,81,8
6.07,66.7,Chris Carson,RB,SEA,290,7.0,48,92,7
6.07,66.8,Cam Newton,QB,CAR,126,5.9,51,80,4
6.07,67.1,Julian Edelman,WR,NE,231,6.5,50,86,11
6.08,67.7,Trey Burton,TE,CHI,166,7.7,47,102,5
6.10,69.5,Tevin Coleman,RB,ATL,223,5.6,54,85,8
6.10,69.6,Drew Brees,QB,NO,140,5.3,55,88,6
6.12,71.8,Alshon Jeffery,WR,PHI,166,6.9,53,89,9
6.12,72.4,Michael Crabtree,WR,BAL,247,7.3,53,95,10
7.02,74.4,Peyton Barber,RB,TB,367,7.6,54,96,5
7.03,74.5,Evan Engram,TE,NYG,148,7.2,55,94,9
7.05,76.6,Will Fuller,WR,HOU,187,7.5,57,101,10
7.06,77.8,Sony Michel,RB,NE,216,6.8,60,97,11
7.06,78.3,Delanie Walker,TE,TEN,178,7.7,58,99,8
7.07,78.6,Rashaad Penny,RB,SEA,153,8.6,58,96,7
7.07,79.5,Kyle Rudolph,TE,MIN,134,7.9,58,102,10
7.09,81.1,Carson Wentz,QB,PHI,78,6.7,63,100,9
7.10,81.6,Sammy Watkins,WR,KC,167,7.7,61,101,12
7.12,83.8,Jamison Crowder,WR,WAS,203,7.6,64,100,4
7.12,83.9,Cooper Kupp,WR,LAR,277,8.1,62,102,12
8.01,84.7,Chris Thompson,RB,WAS,251,7.6,64,101,4
8.02,85.7,Isaiah Crowell,RB,NYJ,152,7.6,66,99,11
8.02,85.8,Robby Anderson,WR,NYJ,266,7.0,67,102,11
8.02,86.4,Kirk Cousins,QB,MIN,108,8.6,64,112,10
8.04,87.7,Andrew Luck,QB,IND,104,9.4,63,120,9
8.05,88.6,Marlon Mack,RB,IND,159,6.6,71,104,9
8.05,89.0,Tarik Cohen,RB,CHI,150,7.5,69,110,5
8.06,90.3,Jordan Reed,TE,WAS,148,12.0,67,125,4
8.07,90.5,Aaron Jones,RB,GB,168,7.3,71,112,7
8.07,90.6,Adrian Peterson,RB,WAS,265,9.5,65,109,4
8.07,90.7,Devin Funchess,WR,CAR,216,8.3,69,108,4
8.09,92.9,Jacksonville Defense,DEF,JAX,159,12.6,60,110,9
8.12,96.3,Randall Cobb,WR,GB,126,9.6,71,113,7
9.02,98.4,Jordy Nelson,WR,OAK,131,10.0,72,115,7
9.03,98.8,Nelson Agholor,WR,PHI,259,8.6,76,118,9
9.03,99.5,Mike Williams,WR,LAC,192,7.4,80,116,8
9.04,99.6,Duke Johnson,RB,CLE,98,7.3,80,119,11
9.04,99.6,Ronald Jones II,RB,TB,53,11.3,70,113,5
9.04,100.4,Jimmy Garoppolo,QB,SF,141,14.0,64,124,11
9.05,101.5,Matthew Stafford,QB,DET,207,9.6,76,123,6
9.06,102.1,David Njoku,TE,CLE,186,15.1,70,138,11
9.08,104.3,Robert Woods,WR,LAR,131,9.5,79,125,12
9.09,104.7,LA Rams Defense,DEF,LAR,94,8.3,83,123,12
9.09,105.4,Kenny Stills,WR,MIA,224,8.8,82,125,11
9.11,106.6,Pierre Garcon,WR,SF,138,10.3,79,121,11
9.12,108.4,Philip Rivers,QB,LAC,186,8.7,85,128,8
10.01,109.3,James White,RB,NE,139,9.2,85,129,11
10.02,109.6,Kelvin Benjamin,WR,BUF,141,9.9,83,124,11
10.02,110.1,Nick Chubb,RB,CLE,92,9.9,85,130,11
10.04,112.0,Minnesota Defense,DEF,MIN,89,7.7,92,126,10
10.04,112.0,Sterling Shepard,WR,NYG,147,8.2,90,128,9
10.04,112.2,Matt Ryan,QB,ATL,178,14.0,75,131,8
10.05,113.5,Ben Roethlisberger,QB,PIT,172,9.3,89,135,7
10.07,115.1,Corey Clement,RB,PHI,140,10.0,89,138,9
10.10,117.6,Pat Mahomes,QB,KC,176,9.5,92,135,12
10.10,117.8,Jack Doyle,TE,IND,276,15.8,76,153,9
10.11,119.3,Keelan Cole,WR,JAX,268,9.8,93,140,9
10.12,119.5,Ty Montgomery,RB,GB,99,11.1,90,146,7
10.12,120.0,Philadelphia Defense,DEF,PHI,65,8.7,97,138,9
11.03,123.3,Latavius Murray,RB,MIN,188,10.7,95,145,10
11.04,123.5,CJ Anderson,RB,CAR,90,12.8,90,153,4
11.04,123.8,Allen Hurns,WR,DAL,90,9.4,99,141,8
11.04,123.9,D.J. Moore,WR,CAR,69,8.8,100,151,4
11.04,124.2,Calvin Ridley,WR,ATL,94,9.7,98,141,8
11.05,124.8,Bilal Powell,RB,NYJ,235,12.6,92,151,11
11.05,125.2,Kenny Golladay,WR,DET,97,8.5,103,144,6
11.05,125.4,LA Chargers Defense,DEF,LAC,56,9.8,99,150,8
11.07,127.3,Jared Goff,QB,LAR,116,11.5,97,148,12
11.10,129.7,Tyler Lockett,WR,SEA,121,8.5,107,144,7
11.11,130.6,Alfred Morris,RB,SF,238,26.4,62,179,11
11.11,131.0,John Brown,WR,BAL,109,7.3,112,154,10
12.01,132.8,Baltimore Defense,DEF,BAL,51,9.6,107,163,10
12.01,133.0,Michael Gallup,WR,DAL,118,8.5,110,148,8
12.01,133.1,Cameron Meredith,WR,NO,59,8.1,112,146,6
12.02,133.7,Houston Defense,DEF,HOU,65,7.0,115,147,10
12.03,134.7,Alex Smith,QB,WAS,110,9.0,111,163,4
12.04,135.7,Matt Breida,RB,SF,244,28.8,60,177,11
12.04,136.2,Anthony Miller,WR,CHI,71,8.1,115,154,5
12.05,137.0,LeGarrette Blount,RB,DET,116,12.2,105,162,6
12.05,137.3,George Kittle,TE,SF,237,17.2,92,177,11
12.06,137.9,Marcus Mariota,QB,TEN,81,8.6,115,175,8
12.07,139.4,Jordan Wilkins,RB,IND,180,12.8,108,172,9
12.09,140.8,Geronimo Allison,WR,GB,122,10.2,114,168,7
12.09,141.3,Chris Godwin,WR,TB,93,9.5,116,170,5
12.10,141.7,New Orleans Defense,DEF,NO,82,8.8,122,163,6
12.10,142.1,Derek Carr,QB,OAK,69,18.9,92,178,7
13.01,145.2,Greg Zuerlein,PK,LAR,240,21.3,89,161,12
13.01,145.5,DeVante Parker,WR,MIA,53,12.5,122,176,11
13.02,145.6,Giovani Bernard,RB,CIN,148,13.7,110,176,9
13.02,146.1,Stephen Gostkowski,PK,NE,132,18.2,98,160,11
13.04,147.9,Denver Defense,DEF,DEN,69,12.6,115,180,10
13.05,149.2,Tyler Eifert,TE,CIN,199,19.1,99,179,9
13.06,149.8,Jonathan Williams,RB,NO,22,26.6,102,181,6
13.08,151.7,Justin Tucker,PK,BAL,58,13.5,116,162,10
13.08,152.4,Dede Westbrook,WR,JAX,90,11.4,122,173,9
13.09,152.8,O.J. Howard,TE,TB,68,18.7,104,189,5
13.09,153.0,John Ross,WR,CIN,97,12.6,120,174,9
13.10,153.9,Devontae Booker,RB,DEN,110,19.0,104,187,10
13.11,154.6,Eric Ebron,TE,IND,21,19.7,115,176,9
13.11,154.9,James Conner,RB,PIT,102,16.6,111,187,7
14.01,156.6,Dak Prescott,QB,DAL,62,22.9,97,180,8
14.02,157.8,Rishard Matthews,WR,TEN,43,12.0,139,180,8
14.02,158.3,Ricky Seals-Jones,TE,ARI,60,19.0,108,180,9
14.03,159.1,Jameis Winston,QB,TB,63,13.1,130,180,5
14.04,159.8,Doug Martin,RB,OAK,32,17.9,116,180,7
14.04,160.0,Donta Foreman,RB,HOU,48,13.8,124,180,10
14.04,160.2,Danny Amendola,WR,MIA,40,17.5,114,178,11
14.05,161.1,Wil Lutz,PK,NO,54,3.8,151,175,6
14.05,161.1,Eli Manning,QB,NYG,51,17.5,115,189,9
14.05,161.3,Pittsburgh Defense,DEF,PIT,103,10.4,134,180,7
14.05,161.4,Courtland Sutton,WR,DEN,79,12.5,128,180,10
14.06,161.5,Carolina Defense,DEF,CAR,124,9.2,141,180,4
14.06,161.6,Tyrod Taylor,QB,CLE,60,16.7,118,180,11
14.06,162.1,Christian Kirk,WR,ARI,22,12.5,133,179,9
14.06,162.3,Austin Ekeler,RB,LAC,77,12.7,129,183,8
14.06,162.3,John Kelly,RB,LAR,22,11.7,138,177,12
14.07,162.6,Chicago Defense,DEF,CHI,114,13.4,127,180,5
14.08,163.7,Josh Doctson,WR,WAS,51,12.7,130,180,4
14.08,163.8,New England Defense,DEF,NE,79,11.7,133,180,11
14.08,164.2,Spencer Ware,RB,KC,37,14.2,131,192,12
14.09,165.2,Jake Elliott,PK,PHI,41,11.8,134,180,9
14.09,165.4,Cleveland Defense,DEF,CLE,22,10.5,137,180,11
14.11,167.0,Atlanta Defense,DEF,ATL,31,8.8,145,180,8
14.11,167.5,Chris Boswell,PK,PIT,45,6.7,157,180,7
14.12,167.5,Quincy Enunwa,WR,NYJ,22,11.7,144,180,11
14.12,167.9,Matt Bryant,PK,ATL,48,7.9,147,178,8
15.02,169.6,Mason Crosby,PK,GB,47,4.7,162,180,7
15.02,169.9,Harrison Butker,PK,KC,44,8.4,147,192,12
15.03,170.9,Robbie Gould,PK,SF,61,12.3,138,183,11
15.03,171.3,Matt Prater,PK,DET,59,5.4,159,180,6
15.04,172.0,Dan Bailey,PK,DAL,24,4.7,161,180,8
15.04,172.0,Daniel Carlson,PK,MIN,32,7.5,152,180,10
15.06,173.6,Adam Vinatieri,PK,IND,35,4.2,165,185,9
